label,126C,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C,132N,132C,133N,133C,134N,extra
TMTpro_126,100,,9.31,,,,,,,,,,,,,,0.68
TMTpro_127N,0.78,100,,9.41,,,,,,,,,,,,,0.33
TMTpro_127C,0.93,,100,,8.63,,,,,,,,,,,,0.63
TMTpro_128N,,0.95,,100,,8.38,,,,,,,,,,,1.05
TMTpro_128C,,,1.47,,100,,6.91,,,,,,,,,,0.49
TMTpro_129N,,,,1.46,,100,,6.86,,,,,,,,,1.43
TMTpro_129C,,,,,2.74,,100,,6.15,,,,,,,,0.98
TMTpro_130N,,,,,,2.76,,100,,5.98,,,,,,,1.24
TMTpro_130C,,,,,,,3.1,,100,,4.82,,,,,,0.54
TMTpro_131N,,,,,,,,3.09,,100,,4.75,,,,,1.5
TMTpro_131C,,,,,,,,,3.81,,100,,3.29,,,,0.54
TMTpro_132N,,,,,,,,,,2.84,,100,,3.51,,,0.85
TMTpro_132C,,,,,,,,,,,4.55,,100,,1.86,,0.54
TMTpro_133N,,,,,,,,,,,,3.64,,100,,1.94,1.19
TMTpro_133C,,,,,,,,,,,,,4.96,,100,,0.56
TMTpro_134N,,,,,,,,,,,,,,4.92,,100,0.54
